volgnr,pagina,voorletters,tussenvoegsel,achternaam,achtervoegsel,rol,vereniging
271,221,H.,,Antink,,,arnhem
272,221,P.,,Backer,,,arnhem
273,221,A.,,Gitsels,,,arnhem
274,221,F.J.,,Helwig,,,arnhem
275,221,D.,,Hendricks,,,arnhem
276,221,H.,,Hendricks,,,arnhem
277,221,A.A.,,Hoedt,,,arnhem
278,221,T.,,Hopaff,,,arnhem
279,221,J.M.A.,,Jansen,,,arnhem
280,221,G.D.,,Kerkhoff,,,arnhem
281,221,H.,,Linde,,,arnhem
282,221,H.W.,,Lindeboom,,,arnhem
283,221,J.,,Mulder,,,arnhem
284,221,A.,,Oldenbroek,,,arnhem
285,221,H.Th.,,Otterloo,,,arnhem
286,221,B.,,Overdijking,,,arnhem
287,221,J.B.,,Sloot,,,arnhem
288,221,P.,van,Wageningen,,,arnhem
289,221,G.,,Wullings,,,arnhem
290,221,G.,,Alders,,Secretaris,denbosch
291,221,M.,,Grevenbroek,,,denbosch
292,221,G.,,Nijman,,,denbosch
293,221,P.C.W.,,Snijder,,,denbosch
294,222,J.C.,,Paap,,President,utrecht
295,222,A.,van,Zutphen,,Vice-President,utrecht
296,222,P.G.,van der,Kamp,,Eerste secretaris,utrecht
297,222,F.,den,Daas,,Tweede secretaris,utrecht
298,222,J.G.,,Fischer,,Penningmeester,utrecht
299,222,J.H.,van,Gortel,,Commissaris,utrecht
300,222,A.,,Zadelhoff,,Commissaris,utrecht
301,222,H.J.,,Baljet,,,utrecht
302,222,A.H.,,Berends,,,utrecht
303,222,W.,,Breij,,,utrecht
304,222,J.P.,,Dieterich,,,utrecht
305,222,J.M.,van,Doorn,,,utrecht
306,222,W.,,Evertse,,,utrecht
307,222,M.,van,Geelen,,,utrecht
308,222,J.W.,,Gerritsen,,,utrecht
309,222,C.H.,,Hendriksen,,,utrecht
310,222,Joh.,,Hendriksen,,,utrecht
311,222,W.D.,,Hes,,,utrecht
312,222,P.,,Hoogeboom,,,utrecht
313,222,J.,,Jongejan,,,utrecht
314,222,B.,van der,Karst,,,utrecht
315,222,A.,van,Kasteel,,,utrecht
316,222,W.,,Ket,,,utrecht
317,222,H.W.,,Kibbeling,,,utrecht
318,222,B.,,Lageman,,,utrecht
319,222,H.J.,,Leijten,,,utrecht
320,222,J.F.,van der ,Meersch,,,utrecht
321,222,P.F.,,Meijland,,,utrecht
322,222,R.G.,,Ming,,,utrecht
323,222,C.,,Molhelm,,,utrecht
324,222,C.,,Mommaas,,,utrecht
325,222,J.M.,,Morat,,,utrecht
326,222,J.A.,,Mulder,,,utrecht
327,222,H.R.,,Mulder,,,utrecht
328,222,J.C.,,Ockeloen,,,utrecht
329,222,J.J.,,Ouwejan,,,utrecht
330,222,R.W.,,Paap,,,utrecht
331,222,A.P.,van,Putten,,,utrecht
332,222,J.J.H.,,Remmer,,,utrecht
333,222,A.,van,Renswoude,,,utrecht
334,222,D.,,Rijksen,,,utrecht
335,222,W.,van,Rijn,,,utrecht
336,222,P.A.,,Rister,,,utrecht
337,222,J.,,Roest,,,utrecht
338,222,W.,van,Schaick,,,utrecht
339,222,H.J.,,Schouten,,,utrecht
340,222,W.F.,,Stekelenburg,,,utrecht
341,222,J.J.,van,Stempvoort,,,utrecht
342,222,J.P.,,Verbon,,,utrecht
343,222,E.D.,,Verbrugh,,,utrecht
344,222,A.H.,,Verhaar,,,utrecht
345,222,P.M.F.,van,Weert,,,utrecht
346,222,J.L.,van der,Vlis,,,utrecht
347,222,F.,van,Vreeswijk,,,utrecht
348,222,J.J.,,Zerner,,,utrecht
349,222,,,Zalsman,,Secretaris,tiel
350,222,,,Grivel,,Penningmeester,tiel
351,222,J.K.,de,Regt,,President,leiden
352,222,L.,van,Nifterick,Hz.,Eerste secretaris,leiden
353,222,P.,,Somerwil,,Tweede secretaris,leiden
354,222,A.,,Holtz,,Penningmeester,leiden
355,222,J.,,Gestman,,Commissaris van toezigt,leiden
356,222,B.,,Plevier,,Commissaris van toezigt,leiden
357,223,J.,,Diemel,,Agent,leiden
358,223,W.,,Eigeman,,Agent,leiden
359,223,J.,,Eggink,,Agent,leiden
360,223,J.A.,,Kettenes,,Agent,leiden
361,223,N.J.,,Koet,,Agent,leiden
362,223,A.,,Uljee,,Agent,leiden
363,223,H.,,Gronloh,,Eerelid,leiden
364,223,J.H.,,Midderhof,,Eerelid,leiden
365,223,C.E.,,Abspoel,,,leiden
366,223,J.,,Brus,Jr.,,leiden
367,223,G.,la,Court,,,leiden
368,223,P.,,Dekker,,,leiden
369,223,J.,,Dobbe,,,leiden
370,223,A.,,Dool,,,leiden
371,223,J.,,Dool,,,leiden
372,223,H.,,Doornik,,,leiden
373,223,J.C.,,Dulfer,,,leiden
374,223,J.J.,,Gerards,,,leiden
375,223,J.J.,,Groen,,,leiden
376,223,J.G.,,Gronloh,,,leiden
377,223,G.,van,Hest,,,leiden
378,223,W.J.,,Hoogervorst,,,leiden
379,223,J.A.,van,Huut,,,leiden
380,223,D.M.,,Kettenes,,,leiden
381,223,J.J.,,Kooreman,,,leiden
382,223,G.,van,Leeuwen,,,leiden
383,223,B.,,Leget,,,leiden
384,223,M.,,Martijn,,,leiden
385,223,D.J.,van,Nieuwenburg,,,leiden
386,223,H.,van,Oosten,,,leiden
387,223,M.,,Pieters,,,leiden
388,223,L.,,Rietbergen,,,leiden
389,223,A.,van,Rossum,,,leiden
390,223,J.F.,,Schleicher,,,leiden
391,223,J.,,Tordu,,,leiden
392,223,J.H.,,Trel,,,leiden
393,223,J.F.,van,Wijngaarden,,,leiden
394,223,J.,van,Zwieten,,,leiden
395,223,M.,,Mark,,,NRC
396,223,A.,van der,Waag,,,NRC
397,223,P.E.,van,Well,,,NRC
